variable,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
production_budget_usd,3959.0,45586786.25,50435008.34,7000.0,379000.0,2000000.0,5000000.0,12000000.0,29000000.0,60000000.0,110000000.0,155000000.0,225000000.0,460000000.0
opening_weekend_usd,3959.0,16811158.11,25258135.85,226.0,8860.54,39312.5,90834.4,1583077.5,9724200.0,20565576.0,40232720.6,60103593.3,133819325.92,357115007.0
domestic_box_office_usd,3959.0,61477337.42,83107369.55,264.0,29838.46,537948.4,2283737.4,12179317.0,35017297.0,75664679.5,150357368.8,213515303.8,408465676.66,858373000.0
worldwide_box_office_usd,3959.0,140363730.62,219851085.23,26822.0,235499.5,1884151.5,5945867.6,21144785.0,63356133.0,164657901.5,355719445.4,549681400.1,1056499262.28,2923706026.0
opening_theaters,3959.0,2052.59,1380.5,1.0,1.0,3.0,5.0,512.0,2445.0,3104.5,3681.2,4007.0,4349.0,4735.0
max_theaters,3959.0,2250.77,1235.11,1.0,9.58,52.9,180.0,1318.0,2525.0,3154.0,3723.0,4029.1,4352.94,4802.0
avg_weeks_per_theater,3959.0,5.37,2.97,0.0,1.0,2.1,2.5,3.4,4.8,6.5,8.7,10.2,16.24,32.7
legs,3959.0,4.46,5.46,1.0,1.51,1.97,2.15,2.55,3.26,4.7,7.84,10.83,17.49,172.9
roi_worldwide,3959.0,4.54,15.04,0.01,0.04,0.25,0.49,1.11,2.34,4.32,8.07,12.35,37.66,431.52
imdb_rating_num,3861.0,6.47,0.97,1.5,3.66,4.8,5.3,5.9,6.5,7.1,7.6,7.9,8.4,9.7
imdb_votes_num,3867.0,178560.19,263552.38,5.0,23.66,5202.4,12121.2,35360.5,93419.0,212629.0,429778.2,658249.8,1249102.28,3182645.0
