genre,films,median_opening_theaters,median_max_theaters,limited_opening_pct,wide_opening_pct,median_expansion_ratio,median_imdb_rating,median_legs,median_roi_worldwide
Drama,963,229.0,1318.0,48.08,30.01,1.3,7.0,4.37,1.89
Comedy,660,2506.5,2551.0,17.58,63.79,1.01,6.2,3.34,2.3
Action,595,2951.0,2996.0,4.71,83.87,1.0,6.4,2.79,2.4
Adventure,517,3369.0,3425.0,4.45,88.2,1.0,6.5,3.46,2.69
Thriller/Suspense,432,2402.5,2456.5,19.44,65.28,1.0,6.5,3.04,1.8
Horror,353,2620.0,2657.0,9.92,72.52,1.0,5.9,2.5,3.6
Romantic Comedy,204,2423.5,2473.0,12.25,66.67,1.0,6.1,3.2,2.64
Black Comedy,83,1468.0,1614.0,38.55,34.94,1.01,6.8,3.59,2.02
Musical,60,2207.5,2808.5,41.67,51.67,1.03,6.9,4.18,2.65
Documentary,42,5.0,205.0,71.43,2.38,9.12,7.4,5.39,2.86
Western,38,2073.0,2478.5,34.21,55.26,1.02,6.7,3.66,1.34
Concert/Performance,8,1458.0,1561.0,12.5,50.0,1.01,6.35,2.84,7.22
Reality,3,3059.0,3063.0,0.0,100.0,1.01,6.8,2.51,7.75
Multiple Genres,1,2624.0,2629.0,0.0,100.0,1.0,7.5,2.16,0.95
