quantile,term,coef,std_error,p_value,ci_low,ci_high,stars
0.25,platform_release,-0.3338,0.1155,0.0039,-0.5603,-0.1074,**
0.25,log_opening_theaters,0.7302,0.0183,0.0,0.6943,0.7662,***
0.25,log_expansion_ratio,0.9196,0.038,0.0,0.845,0.9941,***
0.25,imdb_rating_num,0.408,0.0194,0.0,0.37,0.446,***
0.25,log_budget,0.5013,0.017,0.0,0.468,0.5345,***
0.25,is_franchise,0.8914,0.0433,0.0,0.8065,0.9763,***
0.5,platform_release,-0.0625,0.1009,0.5358,-0.2603,0.1353,
0.5,log_opening_theaters,0.6718,0.0153,0.0,0.6419,0.7018,***
0.5,log_expansion_ratio,0.7899,0.031,0.0,0.7292,0.8506,***
0.5,imdb_rating_num,0.424,0.0164,0.0,0.392,0.4561,***
0.5,log_budget,0.4353,0.0151,0.0,0.4057,0.465,***
0.5,is_franchise,0.7902,0.0348,0.0,0.722,0.8585,***
0.75,platform_release,0.0241,0.1041,0.8167,-0.18,0.2282,
0.75,log_opening_theaters,0.5367,0.0164,0.0,0.5044,0.5689,***
0.75,log_expansion_ratio,0.6393,0.032,0.0,0.5765,0.7021,***
0.75,imdb_rating_num,0.3624,0.0177,0.0,0.3277,0.397,***
0.75,log_budget,0.45,0.0172,0.0,0.4162,0.4837,***
0.75,is_franchise,0.7184,0.0354,0.0,0.649,0.7878,***
0.9,platform_release,0.2453,0.1265,0.0526,-0.0027,0.4933,+
0.9,log_opening_theaters,0.4574,0.0213,0.0,0.4157,0.4991,***
0.9,log_expansion_ratio,0.474,0.0411,0.0,0.3934,0.5546,***
0.9,imdb_rating_num,0.3447,0.0232,0.0,0.2992,0.3903,***
0.9,log_budget,0.4273,0.0224,0.0,0.3833,0.4712,***
0.9,is_franchise,0.6646,0.0416,0.0,0.583,0.7462,***
